Company,alpha_a,alpha_b,beta_a,std,alpha_adj,date,search_pressure
Digital_Realty,-0.3951680120571347,-0.21496197993107355,0.05856734437562333,0.5374945252894529,-0.45214155503984466,2021-07-13,-0.4179574292502187
Walgreens_Boots_Alliance,-0.3689414612424783,-0.7755323803775193,0.4393462599509369,0.7300431032434834,-0.4957672669281511,2021-07-13,-0.4196717835167474
Bristol_Myers_Squibb,-0.3855885274539588,-0.1573384877648487,0.02207451800358232,0.7280965788035499,-0.47807162410608695,2021-07-13,-0.42258176611481
Zebra_Technologies,-0.3865932886519073,-0.10193431548629762,-0.015217340412293641,0.7504567737777378,-0.47830792660128996,2021-07-13,-0.4232791438316603
DXC_Technology,-0.37020883048080144,-0.49288320598067276,0.24993130911882197,0.7784145913007622,-0.5039450007044343,2021-07-13,-0.42370329857025457
John_Deere,-0.40358288708996093,-0.22885188807890086,0.06604612823694204,0.6219578566649665,-0.47987298865630285,2021-07-13,-0.4340989277164977
Packaging_Corporation_of_America,-0.4220682095840516,-0.38239925911043143,0.1648067763502942,0.5295995997355719,-0.4597799277978211,2021-07-13,-0.4371528968695594
Wells_Fargo,-0.40963428975942856,-0.21463410557201695,0.05522603098954702,0.6189258106685054,-0.48725084655815165,2021-07-13,-0.44068091247891783
Molson_Coors_Beverage_Company,-0.4057180046356033,0.11826229733634984,-0.16669438944382337,0.6693525659920947,-0.4932532218972209,2021-07-13,-0.44073209154025034
Las_Vegas_Sands,-0.408424009225535,-0.032559870935583754,-0.06635210555519275,0.8247345548906104,-0.5016293654440822,2021-07-13,-0.4457061517129539
Ball_Corporation,-0.4032746080860445,-0.45506148942682884,0.21748621356559583,0.7257268889630065,-0.5160387535290532,2021-07-13,-0.44838026626324795
EOG_Resources,-0.4142584748181729,-0.02576145412955637,-0.07216054075433048,0.6225473434709572,-0.5024567404048076,2021-07-13,-0.44953778105282677
Starbucks,-0.40956578331411375,-0.20207425607642918,0.04683609185233756,0.7285075540158986,-0.5099423134855979,2021-07-13,-0.4497163953827074
Regency_Centers,-0.4267038123836817,0.16953160196085418,-0.20553133063991116,0.7666227040581824,-0.5022683679050474,2021-07-13,-0.45692963459222796
Twitter,-0.42841647351655066,-0.42967711303289335,0.19507388838850992,0.6516814842817348,-0.5133552039112075,2021-07-13,-0.46239196567441343
Southwest_Airlines,-0.4214059806126764,-0.07390713136052794,-0.04148518515324086,0.8425378294737916,-0.5251607198050509,2021-07-13,-0.4629078762896262
Kraft_Heinz,-0.4466391879702685,0.26263001695034394,-0.2721325304817065,0.843586047359537,-0.4972207005348662,2021-07-13,-0.4668717929961076
McKesson_Corporation,-0.4227989450007425,-0.2001027870911454,0.04266104161250475,0.7640694784406518,-0.53303033555549,2021-07-13,-0.46689150122264145
O%27Reilly_Auto_Parts,-0.438738111277303,0.17552281327075858,-0.21213756575945344,0.7780068538526694,-0.514317725304604,2021-07-13,-0.4689699568882234
Cigna,-0.4326638731260637,-0.3596096580306851,0.14726996358253847,0.666993069928213,-0.5252510593292468,2021-07-13,-0.4696987476073369
Nielsen_Holdings,-0.4721692565908901,0.42218276079171113,-0.38441059938286987,0.9105635010460239,-0.47215564322598347,2021-07-13,-0.47216381124492746
Intuitive_Surgical,-0.43902355479944727,-0.4507503259080197,0.20688646105812233,0.6544200391701949,-0.5271171396780293,2021-07-13,-0.4742609887508801
"Facebook,_Inc.",-0.44321386570453203,-0.4162066181645767,0.1828664201598396,0.6273812207100979,-0.5214676617164062,2021-07-13,-0.47451538410928173
Morgan_Stanley,-0.40287498715504133,-0.5585228491294795,0.28680609375391397,0.8351321976910234,-0.5825093078552814,2021-07-13,-0.4747287154351374
Illinois_Tool_Works,-0.43957160636196524,-0.008925738147737635,-0.08888928590643805,0.7538547893678024,-0.5351896027197183,2021-07-13,-0.47781880490506645
HP_Inc.,-0.4365459050272311,-0.07750756591607179,-0.042343153767771716,0.9327753625762957,-0.5511862066947728,2021-07-13,-0.4824020256942478
WestRock,-0.4525649954899927,-0.2109367855444885,0.043487180371780836,0.5726428213401145,-0.5298692511168224,2021-07-13,-0.48348669774072456
Boeing,-0.44652501056141064,0.020337931703146208,-0.10997235525732689,0.8265717087943578,-0.539686606857525,2021-07-13,-0.48378964907985644
Citigroup,-0.4532957309066825,-0.5000956760672701,0.23682706038760082,0.626867427144332,-0.5299623603013766,2021-07-13,-0.48396238266456015
CME_Group,-0.45592181131041426,-0.39012815518169336,0.16267294392483045,0.6328109181224514,-0.5401262234515294,2021-07-13,-0.48960357616686034
AmerisourceBergen,-0.446136807371294,-0.3116450291164166,0.11226574766687213,0.7338116047770966,-0.5625597986411446,2021-07-13,-0.49270600387923424
Qualcomm,-0.4644051927885554,-0.1758901826673534,0.017479724382203018,0.507840634672287,-0.5362496504047656,2021-07-13,-0.49314297583503947
Walmart,-0.45669821769064806,0.0029122427586129413,-0.10050697772033323,0.5814871781538294,-0.5555117635871766,2021-07-13,-0.49622363604925945
The_Walt_Disney_Company,-0.4581711062649146,-0.021440530895726954,-0.08452859573660618,0.6301751143297295,-0.5562109910100256,2021-07-13,-0.49738706016295897
Roper_Technologies,-0.4892730324378007,-0.5822261619358021,0.2840225215734535,0.5244847623276726,-0.5106192610281994,2021-07-13,-0.4978115238739602
Diamondback_Energy,-0.4508180811344672,-0.25678453140896856,0.07454428888201664,0.7623990966143646,-0.5720460870231912,2021-07-13,-0.49930928348995673
Newell_Brands,-0.4664032974435681,-0.7534711364338128,0.40355061008591553,0.6588668592814709,-0.5592898485790395,2021-07-13,-0.5035579178977567
Air_Products_%26_Chemicals,-0.472797232339609,-0.3689850650917013,0.14488272443847003,0.6250038054754689,-0.5585315777470659,2021-07-13,-0.5070909705025918
PayPal,-0.46949750522361705,-0.1629570151935235,0.00772623531668206,0.6508492858287099,-0.567831726866418,2021-07-13,-0.5088311938807375
Ingersoll_Rand,-0.46255551876505685,-0.39748532489614335,0.16616457636926923,0.7301919260047494,-0.586631517340326,2021-07-13,-0.5121859181951645
Equity_Residential,-0.4714385211742001,-0.0576073963083607,-0.06318986077415985,0.686474631016522,-0.5741743980729644,2021-07-13,-0.5125328719337058
KeyBank,-0.47044517771713695,-0.2869201560258899,0.09047461805200463,0.6889931869662574,-0.577656592370266,2021-07-13,-0.5133297435783886
General_Mills,-0.4577600675930264,-0.24258145209119894,0.06354183736710046,0.8825835089429649,-0.6083166194170561,2021-07-13,-0.5179826883226383
L3Harris_Technologies,-0.4792710914218519,0.22173231061850343,-0.2518070116858693,0.6716265800814483,-0.5821567896334583,2021-07-13,-0.5204253707064945
Advanced_Micro_Devices,-0.48613315369421034,-0.4993023286423854,0.22920966264049825,0.6555601460100187,-0.5842461985216566,2021-07-13,-0.5253783716251889
Gilead_Sciences,-0.48451183448842833,-0.2546221809484267,0.06582598885092639,0.6688745184442613,-0.5889961343046084,2021-07-13,-0.5263055544149003
NiSource,-0.47883721726819145,-0.4827333526888428,0.21969664299757527,0.7191349760880291,-0.6062910123134013,2021-07-13,-0.5298187352862753
Fastenal,-0.5101104095543657,-0.3682431377968796,0.13633384137889415,0.5385092196699919,-0.5720788929592985,2021-07-13,-0.5348978029163388
Realty_Income,-0.4908829339026983,-0.2918154504706137,0.08933983237371365,0.6884658226183322,-0.6024480656899749,2021-07-13,-0.5355089866176089
CDW,-0.490745921012069,-0.6109991882761754,0.3029588212028729,0.6801829694736886,-0.6033783420368984,2021-07-13,-0.5357988894220007
Baker_Hughes,-0.4983501364420037,-0.2998308456399016,0.09309205892342745,0.6525751165772575,-0.6009202265654927,2021-07-13,-0.5393781724913993
Consolidated_Edison,-0.48712649715127376,-0.2425952953358058,0.057213651434746354,0.7871869332154618,-0.6208806922644197,2021-07-13,-0.5406281751965321
Prologis,-0.49919504926755187,-0.07704198320214559,-0.05617476603002821,0.6288910417878218,-0.6038208283749773,2021-07-13,-0.541045360910522
